27,40,11
50,21,73
68,49,29
35,55,19
38,89,36
45,35,5
95,19,81
12,19,67
16,74,83
32,17,99
72,52,31
27,40,85
27,4,90
71,25,90
95,52,44
67,68,4
8,12,61
77,7,94
24,76,8
4,10,44
93,17,20
60,35,17
74,86,29
23,99,31
82,98,41
42,71,54
3,84,49
8,79,27
14,81,64
53,73,86
27,28,81
82,75,7
89,17,68
14,85,73
85,39,51
54,15,29
77,75,56
49,30,100
13,39,1
46,74,67
59,15,69
13,40,51
74,11,98
72,1,76
9,7,91
27,12,52
79,84,86
74,33,66
26,4,50
22,75,46
71,11,7
63,35,61
87,33,97
88,31,19
71,61,80
68,37,65
91,2,26
100,80,2
48,42,8
63,39,52
18,86,81
7,7,81
98,69,4
2,72,3
22,97,12
41,34,48
7,74,39
97,2,9
14,58,31
13,1,10
41,78,20
42,7,35
31,90,68
78,47,94
85,48,72
8,66,1
62,55,11
93,86,21
27,20,29
28,18,36
27,84,33
68,37,27
10,61,86
1,47,100
9,16,51
56,26,21
8,95,5
24,6,57
80,76,80
82,75,16
62,56,13
18,91,50
80,88,88
61,54,64
2,53,41
20,26,99
36,16,62
58,45,40
35,23,72
88,32,4
47,37,79
27,63,96
50,84,3
55,16,9
30,81,59
84,49,71
54,29,88
1,19,67
79,85,74
81,18,81
63,15,13
60,96,28
79,23,30
5,15,31
82,65,50
25,87,62
27,44,52
92,97,76
41,11,54
96,11,58
78,100,12
28,64,82
73,53,100
90,47,49
13,82,37
99,35,40
31,36,20
40,91,29
8,38,17
52,80,39
76,64,96
12,68,82
47,84,72
89,76,94
4,28,40
48,25,37
90,18,94
17,22,54
29,52,21
29,15,16
55,35,23
20,21,27
51,93,52
82,9,63
20,10,12
9,71,98
40,54,80
87,36,36
36,38,79
52,46,92
34,92,39
18,69,80
48,22,86
95,67,90
12,19,15
39,99,83
7,81,98
54,55,93
51,50,60
19,88,31
29,87,24
29,50,18
93,1,13
24,15,37
10,89,13
85,20,41
82,66,1
73,68,29
11,16,65
92,55,8
93,53,75
7,55,70
95,64,29
40,100,4
47,84,83
43,79,97
84,13,16
6,60,35
73,7,85
84,3,100
53,70,2
5,73,31
1,68,75
100,21,66
87,11,24
89,24,66
44,70,8
72,97,33
47,72,76
84,44,51
32,3,63
75,87,40
78,70,47
52,68,78
8,34,51
40,99,65
20,51,95
21,38,13
35,76,97
100,37,3
38,46,43
36,81,71
21,88,9
67,42,79
84,31,52
75,46,58
39,86,4
47,73,89
71,63,47
97,51,67
26,37,38
47,41,76
17,55,23
23,13,71
45,90,87
11,53,42
88,30,90
99,28,19
3,76,55
9,68,36
22,18,33
89,38,49
10,81,45
74,67,98
31,87,22
81,56,7
19,7,100
51,64,87
41,21,11
97,60,23
6,38,7
70,37,69
25,78,90
40,51,30
42,26,34
16,29,80
61,23,82
55,67,50
89,86,10
74,8,56
86,24,29
24,2,10
81,52,59
3,12,24
53,56,68
75,16,74
2,8,24
36,70,65
62,70,52
31,72,86
39,63,59
58,89,87
95,50,19
83,79,35
94,67,29
44,100,34
38,78,32
96,59,27
66,50,46
13,3,41
29,58,40
87,26,37
39,74,24
79,63,41
52,25,16
84,36,76
57,87,51
89,38,90
56,94,3
14,32,9
7,4,80
31,67,52
27,39,1
2,68,41
74,90,20
52,22,28
10,82,57
21,14,72
77,57,7
98,63,80
44,18,56
68,51,5
41,89,79
29,44,97
71,81,3
97,26,81
86,93,55
55,2,11
21,43,91
57,65,56
11,96,26
29,73,71
76,70,9
77,4,51
69,88,47
53,38,74
84,99,91
28,86,59
99,38,73
29,46,18
77,27,66
55,25,66
38,13,80
8,9,50
82,70,46
73,94,74
98,14,9
45,1,19
67,68,84
91,95,66
30,79,52
48,21,54
34,42,96
57,48,93
97,79,53
66,55,36
27,60,61
100,1,17
34,92,85
35,86,38
75,5,31
88,43,80
78,29,78
95,36,5
28,17,91
23,75,1
41,87,66
4,14,61
56,61,86
7,64,16
11,71,28
86,54,84
75,27,66
7,88,42
88,63,25
23,88,91
52,72,97
3,27,59
33,57,50
95,36,5
52,90,53
76,92,45
33,54,34
56,99,67
15,3,30
34,10,25
96,2,94
48,94,44
48,44,95
34,76,9
28,61,45
48,100,20
40,9,68
94,66,30
73,65,52
39,33,89
6,34,48
94,68,57
27,11,13
100,45,4
41,49,18
55,33,12
45,24,86
43,14,72
45,19,35
16,38,57
60,37,81
23,78,95
57,54,9
36,89,77
64,50,1
97,64,51
86,81,22
25,64,6
91,11,86
12,39,47
48,67,47
33,90,18
21,38,73
53,91,74
19,49,81
31,65,69
37,28,39
49,33,69
96,52,99
49,65,33
14,74,78
34,52,58
94,81,69
73,10,77
38,44,96
43,17,87
70,52,40
10,44,56
66,66,55
29,14,88
25,63,13
48,51,13
72,55,73
54,41,94
59,98,88
79,28,19
79,10,56
100,53,79
74,5,22
65,68,89
99,100,92
26,49,12
20,63,19
89,74,34
9,78,16
66,65,12
72,14,11
42,4,32
69,81,49
20,29,28
47,48,20
10,46,56
44,87,6
13,58,55
6,46,17
14,2,94
7,74,26
43,11,31
85,32,52
44,56,92
13,69,37
75,18,10
80,94,64
31,79,9
13,47,17
88,50,14
18,10,97
59,35,77
29,58,100
50,33,62
64,87,90
80,53,24
78,31,17
15,51,71
50,81,1
1,85,88
64,7,22
95,56,31
35,4,19
25,16,18
3,29,13
6,82,55
97,32,14
13,79,4
7,27,77
85,96,82
33,84,21
28,71,17
72,85,10
99,70,80
95,6,3
97,70,80
40,62,1
73,25,85
100,44,85
49,35,39
88,69,93
73,29,43
39,12,63
12,6,45
99,35,71
11,29,81
21,17,53
38,17,80
84,83,84
99,93,63
54,38,38
40,29,41
3,100,83
96,42,4
65,13,50
53,53,69
1,95,35
55,8,5
93,8,58
75,21,38
11,37,52
94,69,48
60,27,61
31,92,63
28,31,100
45,56,100
56,23,45
55,80,93
20,66,17
85,30,28
16,45,14
5,49,36
16,20,11
58,98,93
30,48,18
85,32,5
91,29,68
25,51,85
50,76,16
88,94,1
13,73,5
2,34,71
88,7,93
47,99,89
84,80,19
95,82,8
75,58,69
9,41,90
48,16,90
90,49,88
8,10,95
61,85,51
91,100,16
17,65,45
46,19,30
2,95,47
9,21,97
64,17,11
55,20,91
60,98,79
37,60,52
90,83,19
13,66,67
99,4,5
31,82,100
64,80,45
59,49,33
62,82,51
55,24,84
43,81,92
80,9,7
86,93,61
75,71,87
37,53,100
43,1,74
17,20,99
36,76,11
80,55,47
20,95,43
83,92,31
35,35,62
64,88,9
23,24,81
75,53,42
31,13,51
18,83,62
20,21,11
25,22,35
13,41,95
54,41,32
98,49,98
61,64,82
98,9,46
98,93,60
17,76,25
76,89,42
10,82,36
3,39,35
